"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","SEX (CODE)","SEX (DISPLAY)","SEX (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHOSIS_000007","Healthy life expectancy (HALE) at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443","PUBLISHED","Published","","2015","2015","","AMR","Americas","","CUB","Cuba","","BTSX","Both sexes","","16.5","16.52069","","","","",""
"WHOSIS_000001","Life expectancy at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65","PUBLISHED","Published","","2019","2019","","AMR","Americas","","CUB","Cuba","","BTSX","Both sexes","","77.8","77.76285","","","","",""
"WHOSIS_000002","Healthy life expectancy (HALE) at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66","PUBLISHED","Published","","2015","2015","","EUR","Europe","","CYP","Cyprus","","MLE","Male","","70.9","70.86140","","","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977","PUBLISHED","Published","","2015","2015","","EUR","Europe","","CYP","Cyprus","","MLE","Male","","22.6","22.60652","","","","",""
"WHOSIS_000007","Healthy life expectancy (HALE) at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443","PUBLISHED","Published","","2015","2015","","EUR","Europe","","CYP","Cyprus","","MLE","Male","","17.5","17.49859","","","","",""
"WHOSIS_000001","Life expectancy at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65","PUBLISHED","Published","","2019","2019","","EUR","Europe","","CYP","Cyprus","","MLE","Male","","81.1","81.11502","","","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977","PUBLISHED","Published","","2015","2015","","EUR","Europe","","CYP","Cyprus","","FMLE","Female","","25.6","25.63816","","","","",""
"WHOSIS_000002","Healthy life expectancy (HALE) at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66","PUBLISHED","Published","","2019","2019","","EUR","Europe","","CZE","Czechia","","MLE","Male","","67.0","66.97215","","","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977","PUBLISHED","Published","","2019","2019","","EUR","Europe","","CZE","Czechia","","MLE","Male","","19.9","19.92919","","","","",""
"WHOSIS_000002","Healthy life expectancy (HALE) at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66","PUBLISHED","Published","","2019","2019","","EUR","Europe","","DEU","Germany","","MLE","Male","","69.7","69.66399","","","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977","PUBLISHED","Published","","2019","2019","","EUR","Europe","","DEU","Germany","","MLE","Male","","21.9","21.86726","","","","",""
"WHOSIS_000007","Healthy life expectancy (HALE) at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443","PUBLISHED","Published","","2019","2019","","EUR","Europe","","DEU","Germany","","MLE","Male","","17.0","16.95407","","","","",""
"WHOSIS_000001","Life expectancy at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65","PUBLISHED","Published","","2000","2000","","EUR","Europe","","DEU","Germany","","FMLE","Female","","80.9","80.91944","","","","",""
"WHOSIS_000002","Healthy life expectancy (HALE) at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66","PUBLISHED","Published","","2000","2000","","EUR","Europe","","DEU","Germany","","FMLE","Female","","69.8","69.80727","","","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977","PUBLISHED","Published","","2019","2019","","EUR","Europe","","DEU","Germany","","FMLE","Female","","26.9","26.87273","","","","",""
"WHOSIS_000007","Healthy life expectancy (HALE) at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443","PUBLISHED","Published","","2019","2019","","EUR","Europe","","DEU","Germany","","FMLE","Female","","19.9","19.92312","","","","",""
"WHOSIS_000001","Life expectancy at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65","PUBLISHED","Published","","2000","2000","","EUR","Europe","","DEU","Germany","","BTSX","Both sexes","","78.1","78.09462","","","","",""
"WHOSIS_000002","Healthy life expectancy (HALE) at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66","PUBLISHED","Published","","2000","2000","","EUR","Europe","","DEU","Germany","","BTSX","Both sexes","","68.5","68.46447","","","","",""
"WHOSIS_000007","Healthy life expectancy (HALE) at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443","PUBLISHED","Published","","2019","2019","","EUR","Europe","","DEU","Germany","","BTSX","Both sexes","","18.5","18.46814","","","","",""
"WHOSIS_000001","Life expectancy at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65","PUBLISHED","Published","","2000","2000","","EMR","Eastern Mediterranean","","DJI","Djibouti","","MLE","Male","","57.9","57.87146","","","","",""
"WHOSIS_000002","Healthy life expectancy (HALE) at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66","PUBLISHED","Published","","2000","2000","","EMR","Eastern Mediterranean","","DJI","Djibouti","","MLE","Male","","51.8","51.76263","","","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977","PUBLISHED","Published","","2000","2000","","EMR","Eastern Mediterranean","","DJI","Djibouti","","MLE","Male","","14.9","14.91666","","","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977","PUBLISHED","Published","","2000","2000","","EUR","Europe","","DNK","Denmark","","FMLE","Female","","22.1","22.08300","","","","",""
"WHOSIS_000007","Healthy life expectancy (HALE) at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443","PUBLISHED","Published","","2000","2000","","EUR","Europe","","DNK","Denmark","","FMLE","Female","","16.8","16.78043","","","","",""
"WHOSIS_000001","Life expectancy at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65","PUBLISHED","Published","","2010","2010","","EUR","Europe","","DNK","Denmark","","FMLE","Female","","81.1","81.10014","","","","",""
"WHOSIS_000002","Healthy life expectancy (HALE) at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66","PUBLISHED","Published","","2010","2010","","EUR","Europe","","DNK","Denmark","","FMLE","Female","","70.0","70.02374","","","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977","PUBLISHED","Published","","2000","2000","","EUR","Europe","","DNK","Denmark","","BTSX","Both sexes","","20.6","20.63325","","","","",""
"WHOSIS_000007","Healthy life expectancy (HALE) at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443","PUBLISHED","Published","","2000","2000","","EUR","Europe","","DNK","Denmark","","BTSX","Both sexes","","16.0","15.97797","","","","",""
"WHOSIS_000001","Life expectancy at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65","PUBLISHED","Published","","2010","2010","","EUR","Europe","","DNK","Denmark","","BTSX","Both sexes","","79.2","79.16606","","","","",""
"WHOSIS_000002","Healthy life expectancy (HALE) at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66","PUBLISHED","Published","","2010","2010","","EUR","Europe","","DNK","Denmark","","BTSX","Both sexes","","69.4","69.41515","","","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977","PUBLISHED","Published","","2010","2010","","EUR","Europe","","DNK","Denmark","","BTSX","Both sexes","","22.2","22.19455","","","","",""
"WHOSIS_000001","Life expectancy at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65","PUBLISHED","Published","","2000","2000","","EMR","Eastern Mediterranean","","DJI","Djibouti","","FMLE","Female","","62.0","61.96137","","","","",""
"WHOSIS_000002","Healthy life expectancy (HALE) at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66","PUBLISHED","Published","","2000","2000","","EMR","Eastern Mediterranean","","DJI","Djibouti","","FMLE","Female","","53.8","53.76836","","","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977","PUBLISHED","Published","","2000","2000","","EMR","Eastern Mediterranean","","DJI","Djibouti","","FMLE","Female","","17.7","17.68142","","","","",""
"WHOSIS_000007","Healthy life expectancy (HALE) at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443","PUBLISHED","Published","","2000","2000","","EMR","Eastern Mediterranean","","DJI","Djibouti","","FMLE","Female","","13.3","13.29891","","","","",""
"WHOSIS_000001","Life expectancy at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65","PUBLISHED","Published","","2000","2000","","EMR","Eastern Mediterranean","","DJI","Djibouti","","BTSX","Both sexes","","59.8","59.84435","","","","",""
"WHOSIS_000002","Healthy life expectancy (HALE) at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66","PUBLISHED","Published","","2000","2000","","EMR","Eastern Mediterranean","","DJI","Djibouti","","BTSX","Both sexes","","52.7","52.72825","","","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977","PUBLISHED","Published","","2000","2000","","EMR","Eastern Mediterranean","","DJI","Djibouti","","BTSX","Both sexes","","16.3","16.28793","","","","",""
"WHOSIS_000007","Healthy life expectancy (HALE) at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443","PUBLISHED","Published","","2000","2000","","EMR","Eastern Mediterranean","","DJI","Djibouti","","BTSX","Both sexes","","12.5","12.45159","","","","",""
"WHOSIS_000002","Healthy life expectancy (HALE) at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66","PUBLISHED","Published","","2000","2000","","EUR","Europe","","DNK","Denmark","","MLE","Male","","66.7","66.73137","","","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977","PUBLISHED","Published","","2000","2000","","EUR","Europe","","DNK","Denmark","","MLE","Male","","19.0","18.97174","","","","",""
"WHOSIS_000007","Healthy life expectancy (HALE) at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443","PUBLISHED","Published","","2000","2000","","EUR","Europe","","DNK","Denmark","","MLE","Male","","15.1","15.05874","","","","",""
"WHOSIS_000001","Life expectancy at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65","PUBLISHED","Published","","2010","2010","","EUR","Europe","","DNK","Denmark","","MLE","Male","","77.2","77.19883","","","","",""
"WHOSIS_000001","Life expectancy at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65","PUBLISHED","Published","","2010","2010","","AMR","Americas","","DOM","Dominican Republic","","FMLE","Female","","76.1","76.14426","","","","",""
"WHOSIS_000002","Healthy life expectancy (HALE) at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66","PUBLISHED","Published","","2010","2010","","AMR","Americas","","DOM","Dominican Republic","","FMLE","Female","","66.2","66.16849","","","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977","PUBLISHED","Published","","2010","2010","","AMR","Americas","","DOM","Dominican Republic","","FMLE","Female","","22.9","22.85299","","","","",""
"WHOSIS_000007","Healthy life expectancy (HALE) at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443","PUBLISHED","Published","","2010","2010","","AMR","Americas","","DOM","Dominican Republic","","FMLE","Female","","17.6","17.64750","","","","",""
"WHOSIS_000002","Healthy life expectancy (HALE) at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66","PUBLISHED","Published","","2010","2010","","AMR","Americas","","DOM","Dominican Republic","","BTSX","Both sexes","","64.4","64.37589","","","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977","PUBLISHED","Published","","2010","2010","","AMR","Americas","","DOM","Dominican Republic","","BTSX","Both sexes","","21.4","21.38424","","","","",""
"WHOSIS_000007","Healthy life expectancy (HALE) at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443","PUBLISHED","Published","","2010","2010","","AMR","Americas","","DOM","Dominican Republic","","BTSX","Both sexes","","16.6","16.62566","","","","",""
"WHOSIS_000001","Life expectancy at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65","PUBLISHED","Published","","2015","2015","","AMR","Americas","","DOM","Dominican Republic","","BTSX","Both sexes","","71.8","71.75336","","","","",""
"WHOSIS_000007","Healthy life expectancy (HALE) at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443","PUBLISHED","Published","","2000","2000","","AMR","Americas","","DOM","Dominican Republic","","MLE","Male","","16.1","16.13465","","","","",""
"WHOSIS_000001","Life expectancy at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65","PUBLISHED","Published","","2010","2010","","AMR","Americas","","DOM","Dominican Republic","","MLE","Male","","70.4","70.43110","","","","",""
"WHOSIS_000002","Healthy life expectancy (HALE) at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66","PUBLISHED","Published","","2010","2010","","AMR","Americas","","DOM","Dominican Republic","","MLE","Male","","62.7","62.73946","","","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977","PUBLISHED","Published","","2010","2010","","AMR","Americas","","DOM","Dominican Republic","","MLE","Male","","20.0","19.97991","","","","",""
"WHOSIS_000001","Life expectancy at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65","PUBLISHED","Published","","2015","2015","","AMR","Americas","","ECU","Ecuador","","MLE","Male","","74.9","74.92125","","","","",""
"WHOSIS_000002","Healthy life expectancy (HALE) at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66","PUBLISHED","Published","","2015","2015","","AMR","Americas","","ECU","Ecuador","","MLE","Male","","66.5","66.48226","","","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977","PUBLISHED","Published","","2015","2015","","AMR","Americas","","ECU","Ecuador","","MLE","Male","","21.4","21.39504","","","","",""
"WHOSIS_000007","Healthy life expectancy (HALE) at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443","PUBLISHED","Published","","2015","2015","","AMR","Americas","","ECU","Ecuador","","MLE","Male","","16.5","16.50318","","","","",""
"WHOSIS_000001","Life expectancy at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65","PUBLISHED","Published","","2015","2015","","AMR","Americas","","ECU","Ecuador","","FMLE","Female","","79.5","79.49764","","","","",""
"WHOSIS_000002","Healthy life expectancy (HALE) at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66","PUBLISHED","Published","","2015","2015","","AMR","Americas","","ECU","Ecuador","","FMLE","Female","","68.5","68.53148","","","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977","PUBLISHED","Published","","2015","2015","","AMR","Americas","","ECU","Ecuador","","FMLE","Female","","23.6","23.61479","","","","",""
"WHOSIS_000007","Healthy life expectancy (HALE) at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443","PUBLISHED","Published","","2015","2015","","AMR","Americas","","ECU","Ecuador","","FMLE","Female","","17.7","17.71166","","","","",""
"WHOSIS_000002","Healthy life expectancy (HALE) at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66","PUBLISHED","Published","","2010","2010","","AFR","Africa","","DZA","Algeria","","MLE","Male","","65.9","65.85155","","","","",""
"WHOSIS_000002","Healthy life expectancy (HALE) at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66","PUBLISHED","Published","","2015","2015","","AMR","Americas","","ECU","Ecuador","","BTSX","Both sexes","","67.5","67.49397","","","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977","PUBLISHED","Published","","2010","2010","","AFR","Africa","","DZA","Algeria","","MLE","Male","","20.9","20.89050","","","","",""
"WHOSIS_000007","Healthy life expectancy (HALE) at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443","PUBLISHED","Published","","2010","2010","","AFR","Africa","","DZA","Algeria","","MLE","Male","","15.5","15.54893","","","","",""
"WHOSIS_000001","Life expectancy at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65","PUBLISHED","Published","","2015","2015","","AFR","Africa","","DZA","Algeria","","MLE","Male","","75.6","75.64944","","","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977","PUBLISHED","Published","","2010","2010","","AFR","Africa","","DZA","Algeria","","FMLE","Female","","21.9","21.85451","","","","",""
"WHOSIS_000007","Healthy life expectancy (HALE) at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443","PUBLISHED","Published","","2010","2010","","AFR","Africa","","DZA","Algeria","","FMLE","Female","","15.7","15.70749","","","","",""
"WHOSIS_000001","Life expectancy at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65","PUBLISHED","Published","","2015","2015","","AFR","Africa","","DZA","Algeria","","FMLE","Female","","77.5","77.50346","","","","",""
"WHOSIS_000002","Healthy life expectancy (HALE) at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66","PUBLISHED","Published","","2015","2015","","AFR","Africa","","DZA","Algeria","","FMLE","Female","","65.7","65.66750","","","","",""
"WHOSIS_000007","Healthy life expectancy (HALE) at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443","PUBLISHED","Published","","2010","2010","","AFR","Africa","","DZA","Algeria","","BTSX","Both sexes","","15.6","15.62281","","","","",""
"WHOSIS_000001","Life expectancy at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65","PUBLISHED","Published","","2015","2015","","AFR","Africa","","DZA","Algeria","","BTSX","Both sexes","","76.5","76.54363","","","","",""
"WHOSIS_000002","Healthy life expectancy (HALE) at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66","PUBLISHED","Published","","2015","2015","","AFR","Africa","","DZA","Algeria","","BTSX","Both sexes","","66.0","65.98674","","","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977","PUBLISHED","Published","","2015","2015","","AFR","Africa","","DZA","Algeria","","BTSX","Both sexes","","21.8","21.81046","","","","",""
"WHOSIS_000007","Healthy life expectancy (HALE) at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443","PUBLISHED","Published","","2010","2010","","AMR","Americas","","ECU","Ecuador","","MLE","Male","","15.8","15.82621","","","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977","PUBLISHED","Published","","2015","2015","","EMR","Eastern Mediterranean","","EGY","Egypt","","MLE","Male","","15.7","15.73154","","","","",""
"WHOSIS_000007","Healthy life expectancy (HALE) at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443","PUBLISHED","Published","","2015","2015","","EMR","Eastern Mediterranean","","EGY","Egypt","","MLE","Male","","12.2","12.24621","","","","",""
"WHOSIS_000001","Life expectancy at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65","PUBLISHED","Published","","2019","2019","","EMR","Eastern Mediterranean","","EGY","Egypt","","MLE","Male","","69.6","69.59159","","","","",""
"WHOSIS_000002","Healthy life expectancy (HALE) at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66","PUBLISHED","Published","","2019","2019","","EMR","Eastern Mediterranean","","EGY","Egypt","","MLE","Male","","62.3","62.29045","","","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977","PUBLISHED","Published","","2015","2015","","EMR","Eastern Mediterranean","","EGY","Egypt","","FMLE","Female","","18.3","18.26039","","","","",""
"WHOSIS_000007","Healthy life expectancy (HALE) at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443","PUBLISHED","Published","","2015","2015","","EMR","Eastern Mediterranean","","EGY","Egypt","","FMLE","Female","","13.4","13.40919","","","","",""
"WHOSIS_000001","Life expectancy at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65","PUBLISHED","Published","","2019","2019","","EMR","Eastern Mediterranean","","EGY","Egypt","","FMLE","Female","","74.1","74.14153","","","","",""
"WHOSIS_000002","Healthy life expectancy (HALE) at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66","PUBLISHED","Published","","2019","2019","","EMR","Eastern Mediterranean","","EGY","Egypt","","FMLE","Female","","63.7","63.68393","","","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977","PUBLISHED","Published","","2015","2015","","AMR","Americas","","ECU","Ecuador","","BTSX","Both sexes","","22.5","22.53198","","","","",""
"WHOSIS_000007","Healthy life expectancy (HALE) at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443","PUBLISHED","Published","","2015","2015","","AMR","Americas","","ECU","Ecuador","","BTSX","Both sexes","","17.1","17.12249","","","","",""
"WHOSIS_000001","Life expectancy at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65","PUBLISHED","Published","","2019","2019","","AMR","Americas","","ECU","Ecuador","","BTSX","Both sexes","","78.4","78.44662","","","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977","PUBLISHED","Published","","2019","2019","","AFR","Africa","","ERI","Eritrea","","BTSX","Both sexes","","15.5","15.49802","","","","",""
"WHOSIS_000007","Healthy life expectancy (HALE) at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443","PUBLISHED","Published","","2019","2019","","AFR","Africa","","ERI","Eritrea","","BTSX","Both sexes","","11.4","11.41067","","","","",""
"WHOSIS_000001","Life expectancy at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65","PUBLISHED","Published","","2000","2000","","EUR","Europe","","ESP","Spain","","MLE","Male","","75.7","75.69277","","","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977","PUBLISHED","Published","","2019","2019","","EUR","Europe","","ESP","Spain","","MLE","Male","","23.3","23.27987","","","","",""
"WHOSIS_000007","Healthy life expectancy (HALE) at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443","PUBLISHED","Published","","2019","2019","","EUR","Europe","","ESP","Spain","","MLE","Male","","18.0","17.97789","","","","",""
"WHOSIS_000001","Life expectancy at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65","PUBLISHED","Published","","2000","2000","","EUR","Europe","","ESP","Spain","","FMLE","Female","","82.5","82.47808","","","","",""
"WHOSIS_000002","Healthy life expectancy (HALE) at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66","PUBLISHED","Published","","2000","2000","","EUR","Europe","","ESP","Spain","","FMLE","Female","","71.0","70.98964","","","","",""
"WHOSIS_000007","Healthy life expectancy (HALE) at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443","PUBLISHED","Published","","2019","2019","","EUR","Europe","","ESP","Spain","","FMLE","Female","","20.3","20.33360","","","","",""
"WHOSIS_000007","Healthy life expectancy (HALE) at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443","PUBLISHED","Published","","2015","2015","","EMR","Eastern Mediterranean","","EGY","Egypt","","BTSX","Both sexes","","12.8","12.84039","","","","",""
"WHOSIS_000001","Life expectancy at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65","PUBLISHED","Published","","2019","2019","","EMR","Eastern Mediterranean","","EGY","Egypt","","BTSX","Both sexes","","71.8","71.81616","","","","",""
"WHOSIS_000001","Life expectancy at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65","PUBLISHED","Published","","2000","2000","","EUR","Europe","","ESP","Spain","","BTSX","Both sexes","","79.1","79.08088","","","","",""
"WHOSIS_000002","Healthy life expectancy (HALE) at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66","PUBLISHED","Published","","2019","2019","","EMR","Eastern Mediterranean","","EGY","Egypt","","BTSX","Both sexes","","63.0","62.96765","","","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977","PUBLISHED","Published","","2019","2019","","EMR","Eastern Mediterranean","","EGY","Egypt","","BTSX","Both sexes","","17.8","17.82616","","","","",""
"WHOSIS_000001","Life expectancy at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65","PUBLISHED","Published","","2019","2019","","AFR","Africa","","ERI","Eritrea","","MLE","Male","","61.3","61.29938","","","","",""
"WHOSIS_000002","Healthy life expectancy (HALE) at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66","PUBLISHED","Published","","2019","2019","","AFR","Africa","","ERI","Eritrea","","MLE","Male","","53.9","53.91310","","","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977","PUBLISHED","Published","","2019","2019","","AFR","Africa","","ERI","Eritrea","","MLE","Male","","14.1","14.12736","","","","",""
"WHOSIS_000007","Healthy life expectancy (HALE) at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443","PUBLISHED","Published","","2019","2019","","AFR","Africa","","ERI","Eritrea","","MLE","Male","","10.4","10.37457","","","","",""
"WHOSIS_000001","Life expectancy at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65","PUBLISHED","Published","","2019","2019","","AFR","Africa","","ERI","Eritrea","","FMLE","Female","","67.1","67.06857","","","","",""
"WHOSIS_000002","Healthy life expectancy (HALE) at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66","PUBLISHED","Published","","2019","2019","","AFR","Africa","","ERI","Eritrea","","FMLE","Female","","57.7","57.70357","","","","",""
"WHOSIS_000015","Life expectancy at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2977","PUBLISHED","Published","","2019","2019","","AFR","Africa","","ERI","Eritrea","","FMLE","Female","","16.8","16.82371","","","","",""
"WHOSIS_000007","Healthy life expectancy (HALE) at age 60 (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3443","PUBLISHED","Published","","2019","2019","","AFR","Africa","","ERI","Eritrea","","FMLE","Female","","12.4","12.41371","","","","",""
"WHOSIS_000001","Life expectancy at birth (years)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/65","PUBLISHED","Published","","2000","2000","","AFR","Africa","","ERI","Eritrea","","BTSX","Both sexes","","54.5","54.51377","","","","",""
